LocalTimestamp,DataReliability,PacketNumber,PG
1758101933.665923,100,57880,5205
1758101933.705923,100,57896,5181
1758101933.745923,100,57896,5187
1758101933.785923,100,57896,5181
1758101933.8259232,100,57916,5176
1758101933.8659232,100,57916,5173
1758101933.9059231,100,57932,5181
1758101933.945923,100,57932,5168
1758101933.985923,100,57932,5177
1758101934.025923,100,57949,5193
1758101934.0659232,100,57949,5214
1758101934.1059232,100,57949,5191
1758101934.1459231,100,57966,5207
1758101934.185923,100,57966,5211
1758101934.225923,100,57983,5237
1758101934.265923,100,57983,5232
1758101934.3059232,100,57983,5252
1758101934.3459232,100,57999,5236
1758101934.3859231,100,57999,5241
1758101934.425923,100,58015,5227
1758101934.465923,100,58015,5217
1758101934.505923,100,58015,5205
1758101934.5459232,100,58031,5208
1758101934.5859232,100,58031,5205
1758101934.6259232,100,58048,5201
1758101934.665923,100,58048,5193
1758101934.705923,100,58048,5199
1758101934.745923,100,58064,5205
1758101934.785923,100,58064,5212
1758101934.8259232,100,58080,5204
1758101934.8659232,100,58080,5210
1758101934.9059231,100,58080,5223
1758101934.945923,100,58096,5212
1758101934.985923,100,58096,5225
1758101935.025923,100,58113,5218
1758101935.0659232,100,58113,5243
1758101935.1059232,100,58113,5240
1758101935.1459231,100,58130,5255
1758101935.185923,100,58130,5244
1758101935.225923,100,58146,5235
1758101935.265923,100,58146,5236
1758101935.3059232,100,58146,5223
1758101935.3459232,100,58161,5220
1758101935.3859231,100,58161,5207
1758101935.425923,100,58179,5218
1758101935.465923,100,58179,5207
1758101935.505923,100,58179,5210
1758101935.5459232,100,58195,5223
1758101935.5859232,100,58195,5217
1758101935.6259232,100,58195,5219
1758101935.665923,100,58219,5242
1758101935.705923,100,58219,5238
1758101935.745923,100,58219,5241
1758101935.785923,100,58236,5257
1758101935.8259232,100,58236,5258
1758101935.8659232,100,58236,5275
1758101935.9059231,100,58251,5269
1758101935.945923,100,58251,5254
1758101935.985923,100,58267,5256
1758101936.025923,100,58267,5243
1758101936.0659232,100,58267,5238
1758101936.1059232,100,58285,5252
1758101936.1459231,100,58285,5256
1758101936.185923,100,58285,5247
1758101936.225923,100,58301,5253
1758101936.265923,100,58301,5258
1758101936.3059232,100,58317,5264
1758101936.3459232,100,58317,5255
1758101936.3859231,100,58317,5262
1758101936.425923,100,58332,5259
1758101936.465923,100,58332,5259
1758101936.505923,100,58350,5268
1758101936.5459232,100,58350,5286
1758101936.5859232,100,58350,5297
1758101936.6259232,100,58366,5302
1758101936.665923,100,58366,5292
1758101936.705923,100,58383,5282
1758101936.745923,100,58383,5273
1758101936.785923,100,58398,5291
1758101936.8259232,100,58398,5293
1758101936.8659232,100,58398,5282
1758101936.9059231,100,58415,5304
1758101936.945923,100,58415,5300
1758101936.985923,100,58433,5313
1758101937.025923,100,58433,5322
1758101937.0659232,100,58433,5332
1758101937.1059232,100,58451,5361
1758101937.1459231,100,58451,5374
1758101937.185923,100,58451,5388
1758101937.225923,100,58465,5381
1758101937.265923,100,58465,5375
1758101937.3059232,100,58482,5387
1758101937.3459232,100,58482,5383
1758101937.3859231,100,58482,5399
1758101937.425923,100,58501,5401
1758101937.465923,100,58501,5391
1758101937.505923,100,58518,5407
1758101937.5459232,100,58518,5411
1758101937.5859232,100,58518,5415
1758101937.6259232,100,58532,5427
1758101937.665923,100,58532,5416
1758101937.705923,100,58549,5431
1758101937.745923,100,58549,5422
1758101937.785923,100,58549,5425
1758101937.8259232,100,58566,5426
1758101937.8659232,100,58566,5421
1758101937.9059231,100,58585,5412
1758101937.945923,100,58585,5397
1758101937.985923,100,58585,5387
1758101938.025923,100,58599,5389
1758101938.0659232,100,58599,5385
1758101938.1059232,100,58617,5399
1758101938.1459231,100,58617,5399
1758101938.185923,100,58617,5406
1758101938.225923,100,58633,5390
1758101938.265923,100,58633,5392
1758101938.3059232,100,58650,5415
1758101938.3459232,100,58650,5416
1758101938.3859231,100,58650,5414
1758101938.425923,100,58666,5409
1758101938.465923,100,58666,5414
1758101938.505923,100,58666,5408
1758101938.5459232,100,58682,5396
1758101938.5859232,100,58682,5400
1758101938.6259232,100,58698,5400
1758101938.665923,100,58698,5400
1758101938.705923,100,58698,5414
1758101938.745923,100,58716,5401
1758101938.785923,100,58716,5404
1758101938.8259232,100,58734,5411
1758101938.8659232,100,58734,5427
1758101938.9059231,100,58734,5429
1758101938.945923,100,58749,5435
1758101938.985923,100,58749,5436
1758101939.025923,100,58765,5438
1758101939.0659232,100,58765,5435
1758101939.1059232,100,58765,5438
1758101939.1459231,100,58783,5437
1758101939.185923,100,58783,5434
1758101939.225923,100,58799,5433
1758101939.265923,100,58799,5424
1758101939.3059232,100,58799,5447
1758101939.3459232,100,58814,5441
1758101939.3859231,100,58814,5449
1758101939.425923,100,58814,5454
1758101939.465923,100,58831,5452
1758101939.505923,100,58831,5465
1758101939.5459232,100,58848,5456
1758101939.5859232,100,58848,5465
1758101939.6259232,100,58848,5463
1758101939.665923,100,58864,5483
1758101939.705923,100,58864,5465
1758101939.745923,100,58880,5464
1758101939.785923,100,58880,5453
1758101939.8259232,100,58880,5453
1758101939.8659232,100,58896,5471
1758101939.9059231,100,58896,5471
1758101939.945923,100,58913,5480
1758101939.985923,100,58913,5472
1758101940.025923,100,58913,5482
1758101940.0659232,100,58929,5478
1758101940.1059232,100,58929,5483
1758101940.1459231,100,58945,5484
1758101940.185923,100,58945,5511
1758101940.225923,100,58945,5514
1758101940.265923,100,58961,5494
1758101940.3059232,100,58961,5500
1758101940.3459232,100,58978,5494
1758101940.3859231,100,58978,5499
1758101940.425923,100,58978,5494
1758101940.465923,100,58995,5494
1758101940.505923,100,58995,5491
1758101940.5459232,100,59011,5493
1758101940.5859232,100,59011,5489
1758101940.6259232,100,59011,5495
1758101940.665923,100,59026,5492
1758101940.705923,100,59026,5507
1758101940.745923,100,59049,5512
1758101940.785923,100,59049,5518
1758101940.8259232,100,59049,5521
1758101940.8659232,100,59049,5513
1758101940.9059231,100,59065,5519
1758101940.945923,100,59065,5510
1758101940.985923,100,59082,5489
1758101941.025923,100,59082,5494
1758101941.0659232,100,59082,5498
1758101941.1059232,100,59099,5490
1758101941.1459231,100,59099,5494
1758101941.185923,100,59099,5498
1758101941.225923,100,59116,5509
1758101941.265923,100,59116,5501
1758101941.3059232,100,59132,5503
1758101941.3459232,100,59132,5501
1758101941.3859231,100,59132,5511
1758101941.425923,100,59150,5516
1758101941.465923,100,59150,5499
1758101941.505923,100,59166,5510
1758101941.5459232,100,59166,5495
1758101941.5859232,100,59166,5483
1758101941.6259232,100,59181,5474
1758101941.665923,100,59181,5476
1758101941.705923,100,59199,5481
1758101941.745923,100,59199,5493
1758101941.785923,100,59199,5486
1758101941.8259232,100,59217,5492
1758101941.8659232,100,59217,5483
1758101941.9059231,100,59233,5480
1758101941.945923,100,59233,5486
1758101941.985923,100,59233,5489
1758101942.025923,100,59248,5492
1758101942.0659232,100,59248,5480
1758101942.1059232,100,59265,5472
1758101942.1459231,100,59265,5461
1758101942.185923,100,59265,5450
1758101942.225923,100,59282,5456
1758101942.265923,100,59282,5458
1758101942.3059232,100,59282,5457
1758101942.3459232,100,59298,5460
1758101942.3859231,100,59298,5455
1758101942.425923,100,59315,5465
1758101942.465923,100,59315,5461
1758101942.505923,100,59315,5466
1758101942.5459232,100,59330,5458
1758101942.5859232,100,59330,5467
1758101942.6259232,100,59347,5455
1758101942.665923,100,59347,5453
1758101942.705923,100,59347,5441
1758101942.745923,100,59364,5441
1758101942.785923,100,59364,5434
1758101942.8259232,100,59383,5418
1758101942.8659232,100,59383,5422
1758101942.9059231,100,59383,5434
1758101942.945923,100,59397,5436
